Suspeito,id_campo,Setor,status,LON,LAT
1,126,2,False,-42.030049,-22.975064
0,127,2,False,-42.030671,-22.974936
0,128,2,False,-42.030719,-22.974681
0,129,2,False,-42.030886,-22.974987
0,130,2,False,-42.02837,-22.974623
0,131,2,False,-42.027703,-22.974594
0,132,2,False,-42.027139,-22.974665
0,133,2,False,-42.027709,-22.975247
0,134,3,False,-42.026041,-22.97493
0,135,3,False,-42.025712,-22.975005
0,136,2,False,-42.027608,-22.974019
0,137,2,False,-42.027592,-22.973944
0,138,2,False,-42.027316,-22.974049
0,139,2,False,-42.027048,-22.974109
0,140,2,False,-42.02734,-22.973623
0,141,2,False,-42.027192,-22.973415
0,142,2,False,-42.027153,-22.973472
0,143,2,False,-42.027114,-22.973649
0,144,2,False,-42.027147,-22.973674
0,145,2,False,-42.026238,-22.973364
0,146,2,False,-42.026482,-22.973522
0,147,3,False,-42.025837,-22.973401
0,148,3,False,-42.025639,-22.973942
0,149,2,False,-42.026154,-22.974524
0,150,2,False,-42.026373,-22.974304
0,151,2,False,-42.026186,-22.974246
0,152,3,False,-42.026109,-22.974347
0,153,2,False,-42.026597,-22.974755
0,154,1,False,-42.027625,-22.975445
0,155,1,False,-42.027334,-22.975329
0,156,2,False,-42.02727,-22.9753
0,157,1,False,-42.027112,-22.975411
0,158,1,False,-42.028731,-22.975868
0,159,1,False,-42.029198,-22.975799
0,160,2,False,-42.026991,-22.974333
0,161,2,False,-42.026699,-22.974251
0,162,2,False,-42.026284,-22.97402
0,163,1,False,-42.026558,-22.975785
0,164,1,False,-42.026969,-22.975747
1,165,2,False,-42.028515,-22.975212
0,166,2,False,-42.02818,-22.975333
0,167,2,False,-42.028071,-22.975147
0,168,7,False,-42.026153,-22.971405
1,169,2,False,-42.028974,-22.974855
0,170,2,False,-42.030093,-22.974416
0,171,2,False,-42.030234,-22.973882
0,172,2,False,-42.030121,-22.973822
0,173,6,False,-42.030389,-22.972369
0,174,1,False,-42.02822,-22.975463
0,175,1,False,-42.028816,-22.975504
0,176,8,False,-42.021944,-22.975711
0,177,8,False,-42.021984,-22.975262
0,178,3,False,-42.022252,-22.975086
0,179,3,False,-42.022175,-22.974859
0,180,3,False,-42.022103,-22.974832
0,181,3,False,-42.021723,-22.973171
0,182,3,False,-42.021769,-22.973273
0,183,3,False,-42.021807,-22.973379
0,184,3,False,-42.02185,-22.973481
0,185,3,False,-42.021603,-22.97348
0,186,8,False,-42.023254,-22.975548
0,187,8,False,-42.023273,-22.975622
0,188,8,False,-42.024694,-22.975414
0,189,8,False,-42.023455,-22.97535
0,190,8,False,-42.025102,-22.975522
0,191,8,False,-42.025567,-22.975611
0,192,3,False,-42.02244,-22.974751
0,193,3,False,-42.022339,-22.973739
0,194,3,False,-42.022686,-22.974177
0,195,3,False,-42.023022,-22.975055
0,196,3,False,-42.022784,-22.975019
0,197,3,False,-42.023394,-22.974917
0,198,3,False,-42.023432,-22.974911
0,199,3,False,-42.023081,-22.974445
0,200,3,False,-42.024223,-22.974625
0,201,3,False,-42.024126,-22.974569
0,202,3,False,-42.022935,-22.974978
0,203,3,False,-42.023676,-22.97452
0,204,3,False,-42.023683,-22.97458
0,205,3,False,-42.02344,-22.974151
0,206,3,False,-42.024599,-22.974416
0,207,3,False,-42.024466,-22.974274
1,208,3,False,-42.024081,-22.974155
0,209,3,False,-42.024006,-22.974306
0,210,3,False,-42.023903,-22.974006
0,211,3,False,-42.023348,-22.973891
0,212,3,False,-42.023341,-22.973708
0,213,3,False,-42.022203,-22.973309
0,214,3,False,-42.022191,-22.973283
0,215,2,False,-42.027821,-22.973978
0,216,2,False,-42.02894,-22.973901
0,217,2,False,-42.029487,-22.973573
0,218,3,False,-42.025459,-22.973632
1,219,3,False,-42.025309,-22.974498
0,220,5,False,-42.022651,-22.969356
0,221,3,False,-42.022031,-22.972866
0,222,3,False,-42.022039,-22.97289
0,223,3,False,-42.025525,-22.973474
0,224,3,False,-42.023702,-22.973789
0,225,3,False,-42.022372,-22.972934
0,226,3,False,-42.022108,-22.973076
0,227,3,False,-42.02212,-22.973105
0,228,7,False,-42.023109,-22.970306
0,229,7,False,-42.021518,-22.970502
0,230,5,False,-42.023215,-22.969549
0,231,5,False,-42.022845,-22.969716
0,232,7,False,-42.02242,-22.970218
